adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/74edj6ZuZLymG75rX8P3s3CffMF.jpg,"[35, 16, 10402]",118293,fr,Le magasin des suicides,"In a cold French city where suicide is a common urge, there is a colorful shop, managed for many years by the Tuvache family, where it is very easy to obtain the necessary tools to satisfy the sinister desires of so many depressed citizens.",6.171,/wf5MLnp5wRIJAhoLa0rghGTD2Pr.jpg,2012-09-26,The Suicide Shop,False,6.4,431
False,/iTYEfcbLMlU6YsvKPXDRvdmi6ft.jpg,"[28, 12, 53]",5551,en,Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",11.339,/hPzt1bbA1sUDQOl6Vujmyz2hjLN.jpg,2000-08-04,Space Cowboys,False,6.4,916
False,/3URFkXMnqemZq8OCCylRsJr3ppw.jpg,"[18, 27, 878, 10749]",3036,en,Mary Shelley's Frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",9.91,/bOwCAQsZlEKrwhPi1ejY6BS8jpL.jpg,1994-11-04,Mary Shelley's Frankenstein,False,6.4,840
False,/9K4QqQZg4TVXcxBGDiVY4Aey3Rn.jpg,"[12, 16, 35, 10751, 14]",460793,en,Olaf's Frozen Adventure,"Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",29.608,/As8WTtxXs9e3cBit3ztTf7zoRmm.jpg,2017-10-27,Olaf's Frozen Adventure,False,6.4,1162
False,/tiIpajUBpLMNWMEzpjRBxo0jCbD.jpg,"[18, 53, 12, 27]",425972,en,Cargo,"After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",16.154,/cdPSUck4tBRvRu6DFk6XciDrssn.jpg,2017-10-06,Cargo,False,6.4,1180
False,/8p4gCdDT55PMY3UMDvo6ybzMrai.jpg,"[16, 35, 10751, 878]",9928,en,Robots,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",24.933,/fnKCh67l2DDG9NxxIlk9IpsXQ99.jpg,2005-03-10,Robots,False,6.4,3370
False,/lrNbt21hRirjyTK0SeLA0L4RAVS.jpg,"[28, 27, 878]",340102,en,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",250.728,/xZNw9xxtwbEf25NYoz52KdbXHPM.jpg,2020-08-26,The New Mutants,False,6.4,1581
False,/a34HO9KkiUh3Bck0PTiuY0YeuR6.jpg,[27],115210,en,Stitches,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",12.184,/krlOnkMBDYp4zgLivd4WORBnQm0.jpg,2012-05-19,Stitches,False,6.4,258
False,/1E8opVXbqzYe1GjPxIWZ8OxRTG6.jpg,"[28, 53]",2453,en,Harley Davidson and the Marlboro Man,"It's the lawless future, and renegade biker Harley Davidson and his surly cowboy buddy, Marlboro, learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure.",10.373,/4WRdrjHyLuHRwep2UJWBoIn6KTW.jpg,1991-08-23,Harley Davidson and the Marlboro Man,False,6.4,247
False,/u8H0R5gfGxyYdh9Gf9f0gupLjwe.jpg,[35],408540,it,Piuma,"Ferro and Cate, two kids trying to get to grips with an unplanned pregnancy, their families (rebellious Ferro’s hospitable, ‘normal’ family, and level-headed Cate’s unhinged, atypical one), exams at school, friends and a general lack of jobs.",4.654,/hZTV7mQBbLSVj3eTe4O6j4yRnzR.jpg,2016-10-20,Feather,False,6.4,205
